food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
CR027,"Kacang merah, segar",KZGPI- l990,"57,2",171,11.0,2.2,28.0,2.1,"1,7",293,134,"3,7",7.0,360.7,"0,34","1,4",,0,10,"0,15","0,15","1,1",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah, segar",kacang merah,kacang merah,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,42.75,2.75,0.55,7.0,1.75,90.175,73.25,0.525,False,True
CP005,"kacang hijau, rebus",KZGPI-1990,"71,3",109,8.7,0.5,18.3,1.5,"1,2",95,149,"1,5",447.0,657.8,"1,4","2,8",,18,120,"0,12","0,04","0,4",3.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang hijau, rebus",kacang hijau,kacang hijau,2 Sendok Makan,2.0,Sendok Makan,25.0,True,True,False,False,27.25,2.175,0.125,4.575,111.75,164.45,23.75,0.375,False,True
CP007,"Kacang kedelai, rebus",KZGPI-1990,"56,8",189,20.2,8.2,12.7,1.6,"2,1",91,270,"3,9",181.0,615.0,"1,3","3,7",,4,15,"0,2","0,04","0,5",0.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, rebus",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,True,True,False,False,47.25,5.05,2.05,3.175,45.25,153.75,22.75,0.4,False,True
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,48.9,13.8,23.3,0.0,"3,2",378,781,"2,1",55.0,455.3,"0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,1.0,Lembar,20.0,True,True,True,False,76.0,9.78,2.76,4.66,11.0,91.06,75.6,0.0,False,True
CP051,Oncom,DABM-1964,57,187,13.0,6.0,22.6,,"1,4",96,115,27,,,,,0.0,,,"0,09",0,"1,6",0.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom,oncom,oncom,2 Potong Besar,2.0,Potong Besar,50.0,True,True,True,False,93.5,6.5,3.0,11.3,,,48.0,,False,True
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True
DR002,"Ale,toge, segar",KZGPI-1990,"90,6",37,4.4,0.5,3.8,1.7,"0,7",50,248,2,2.3,105.0,"0,16","0,4",0.0,0,35,"0,02","0,09","0,6",46.0,90,D,DR,S,Sayur,tkpi_main_group,"ale,toge, segar","ale,toge","ale,toge",1 gelas,1.0,gelas,100.0,False,False,False,False,37.0,4.4,0.5,3.8,2.3,105.0,50.0,1.7,False,True
DR004,"Andewi, segar",DABM-1964,"91,8",226,1.6,0.2,5.3,4.1,"1,1",33,66,1,29.0,414.6,"0,13",1,,1717,,"0,14","0,09","0,5",10.0,80,D,DR,S,Sayur,tkpi_main_group,"andewi, segar",andewi,andewi,1 gelas,1.0,gelas,100.0,False,False,False,False,226.0,1.6,0.2,5.3,29.0,414.6,33.0,4.1,False,True
DR005,"Bakung, segar",KZGMI-2001,"92,5",27,2.0,0.2,4.2,3.8,"1,1",19,20,"0,5",37.0,340.0,"0,2","0,3",,1080,,"0,2","0,1","0,3",42.0,100,D,DR,S,Sayur,tkpi_main_group,"bakung, segar",bakung,bakung,1 gelas,1.0,gelas,100.0,False,False,False,False,27.0,2.0,0.2,4.2,37.0,340.0,19.0,3.8,False,True
DR006,"Baligo, segar",DABM-1964,"96,1",15,0.4,0.2,3.0,0.4,"0,3",19,19,"0,4",1.7,131.1,"0,02","0,6",,0,,"0,04","0,02","0,3",13.0,69,D,DR,S,Sayur,tkpi_main_group,"baligo, segar",baligo,baligo,1 gelas,1.0,gelas,100.0,False,False,False,False,15.0,0.4,0.2,3.0,1.7,131.1,19.0,0.4,False,True
DR007,"Bawang bombay, segar",DABM-1964,"87,5",43,1.4,0.2,10.3,2.0,"0,6",32,44,"0,5",12.2,9.6,"0,1","0,3",,788,50,"0,03","0,21","0,4",9.0,94,D,DR,S,Sayur,tkpi_main_group,"bawang bombay, segar",bawang bombay,bawang bombay,1 gelas,1.0,gelas,100.0,False,False,False,False,43.0,1.4,0.2,10.3,12.2,9.6,32.0,2.0,False,True
DR008,"Bayam, segar",KZGPI-1990,"94,5",16,0.9,0.4,2.9,0.7,"1,3",166,76,"3,5",15.8,456.4,"0,13","0,4",,2699,2293,"0,04","0,1",1,41.0,71,D,DR,S,Sayur,tkpi_main_group,"bayam, segar",bayam,bayam,1 gelas,1.0,gelas,100.0,False,False,False,False,16.0,0.9,0.4,2.9,15.8,456.4,166.0,0.7,False,True
DR009,"Bayam merah, segar",KZGMI-2001,"88,5",41,2.2,0.8,6.3,2.2,"2,2",520,80,7,20.0,60.0,"0,2","0,8",0.0,7325,,"0,2","0,1","0,1",62.0,71,D,DR,S,Sayur,tkpi_main_group,"bayam merah, segar",bayam merah,bayam merah,1 gelas,1.0,gelas,100.0,False,False,False,False,41.0,2.2,0.8,6.3,20.0,60.0,520.0,2.2,False,True
DR010,"Bit, segar",DABM-1964,"87,6",41,1.6,0.1,9.6,2.6,"1,1",27,43,1,28.5,404.9,"0,2","0,7",,0,20,"0,02","0,05","0,3",10.0,75,D,DR,S,Sayur,tkpi_main_group,"bit, segar",bit,bit,1 gelas,1.0,gelas,100.0,False,False,False,False,41.0,1.6,0.1,9.6,28.5,404.9,27.0,2.6,False,True
DR011,Buah kelor,KZGMI-2001,"89,5",38,1.5,0.2,7.5,3.2,"1,3",30,54,0,48.0,216.0,0,"0,2",,31,,"0,1","0,1","4,1",25.0,65,D,DR,S,Sayur,tkpi_main_group,buah kelor,buah kelor,buah kelor,1 gelas,1.0,gelas,100.0,False,False,False,False,38.0,1.5,0.2,7.5,48.0,216.0,30.0,3.2,False,True
DR012,Buah merah,KZGMI-2001,"81,2",87,2.6,2.7,13.1,4.0,"0,4",30,1,"1,1",110.0,140.0,"0,1","0,3",0.0,0,,"1,5","0,1","0,2",15.0,100,D,DR,S,Sayur,tkpi_main_group,buah merah,buah merah,buah merah,1 gelas,1.0,gelas,100.0,False,False,False,False,87.0,2.6,2.7,13.1,110.0,140.0,30.0,4.0,False,True
DR013,"Buncis, segar",KZGPI-1990,"89,6",34,2.4,0.3,7.2,1.9,"0,5",101,42,"0,7",8.0,250.0,"0,07","0,3",0.0,772,550,"0,05","0,4","2,8",11.0,90,D,DR,S,Sayur,tkpi_main_group,"buncis, segar",buncis,buncis,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,2.4,0.3,7.2,8.0,250.0,101.0,1.9,False,True
DR014,"Bunga pepaya, segar",KZGPI-1990,"87,3",45,2.6,0.3,8.1,1.6,"1,7",290,113,"4,2",2.3,478.3,"0,08","0,8",,2792,5,"0,01","0,28",1,23.0,100,D,DR,S,Sayur,tkpi_main_group,"bunga pepaya, segar",bunga pepaya,bunga pepaya,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,2.6,0.3,8.1,2.3,478.3,290.0,1.6,False,True
DR015,"Bunga turi, segar",BKP,"90,4",42,2.0,1.1,6.1,3.3,"0,4",28,23,"0,8",28.6,97.4,"0,1","0,6",,1200,0,"0,5","0,02","0,4",1.0,"96,1",D,DR,S,Sayur,tkpi_main_group,"bunga turi, segar",bunga turi,bunga turi,1 gelas,1.0,gelas,100.0,False,False,False,False,42.0,2.0,1.1,6.1,28.6,97.4,28.0,3.3,False,True
DR016,"Caisin, segar",KZGPI-1990,"93,6",20,1.7,0.4,3.4,1.2,"0,9",123,40,"1,9",18.0,358.2,"0,05","1,4",,1675,4188,"0,04","0,19","0,6",3.0,100,D,DR,S,Sayur,tkpi_main_group,"caisin, segar",caisin,caisin,1 gelas,1.0,gelas,100.0,False,False,False,False,20.0,1.7,0.4,3.4,18.0,358.2,123.0,1.2,False,True
DR017,"Daun bangun- bangun, segar",KZGPI-1990,"92,5",27,1.3,0.6,4.0,1.0,"1,6",279,40,"13,6",3.6,144.0,,,,1489,13288,"0,16","0,1",0,5.0,66,D,DR,S,Sayur,tkpi_main_group,"daun bangun- bangun, segar",daun bangun- bangun,daun bangun- bangun,1 gelas,1.0,gelas,100.0,False,False,False,False,27.0,1.3,0.6,4.0,3.6,144.0,279.0,1.0,False,True
DR018,"Daun bawang merah, segar",KZGMI-2001,"89,1",41,2.0,0.3,7.8,2.1,"0,8",60,40,"2,3",30.0,90.0,"0,1","0,3",0.0,218,,"0,1","0,1","0,2",11.0,67,D,DR,S,Sayur,tkpi_main_group,"daun bawang merah, segar",daun bawang merah,daun bawang merah,1 gelas,1.0,gelas,100.0,False,False,False,False,41.0,2.0,0.3,7.8,30.0,90.0,60.0,2.1,False,True
DR019,"Daun bebuas, segar",KZGPI-1990,"87,9",41,2.7,1.0,7.3,2.1,"1,1",29,245,"1,5",,,,,0.0,,3099,"0,01",,,3.0,49,D,DR,S,Sayur,tkpi_main_group,"daun bebuas, segar",daun bebuas,daun bebuas,1 gelas,1.0,gelas,100.0,False,False,False,False,41.0,2.7,1.0,7.3,,,29.0,2.1,False,True
DR020,"Daun belem, segar",KZGPI-1990,"84,6",50,4.4,1.4,7.8,1.9,"1,8",698,151,"7,5",,,,,0.0,,13072,"0,05",,,21.0,81,D,DR,S,Sayur,tkpi_main_group,"daun belem, segar",daun belem,daun belem,1 gelas,1.0,gelas,100.0,False,False,False,False,50.0,4.4,1.4,7.8,,,698.0,1.9,False,True
DR021,"Daun bluntas, segar",DABM-1964,86,44,1.8,0.5,9.4,,"2,3",256,49,"5,6",,,,,,,3980,"0,02",,,30.0,65,D,DR,S,Sayur,tkpi_main_group,"daun bluntas, segar",daun bluntas,daun bluntas,1 gelas,1.0,gelas,100.0,False,False,False,False,44.0,1.8,0.5,9.4,,,256.0,,False,True
DR022,"Daun gandaria, segar",DABM-1964,81,63,3.1,0.3,14.0,2.1,"1,6",40,45,"4,7",3.0,127.7,,,,503,600,"0,04","0,04","0,2",61.0,65,D,DR,S,Sayur,tkpi_main_group,"daun gandaria, segar",daun gandaria,daun gandaria,1 gelas,1.0,gelas,100.0,False,False,False,False,63.0,3.1,0.3,14.0,3.0,127.7,40.0,2.1,False,True
DR023,"Daun gedi besar, segar",KZGMI-2001,84,58,2.9,0.7,10.0,3.3,"2,4",440,100,"1,9",30.0,40.0,"0,2","2,1",,596,,"0,4","0,5","2,8",11.0,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi besar, segar",daun gedi besar,daun gedi besar,1 gelas,1.0,gelas,100.0,False,False,False,False,58.0,2.9,0.7,10.0,30.0,40.0,440.0,3.3,False,True
DR024,"Daun gedi kecil, segar",KZGMI-2001,"83,7",61,3.2,0.7,10.4,3.4,2,420,70,"1,7",20.0,50.0,"0,1","1,4",,607,,"0,4","0,3","2,9",11.0,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi kecil, segar",daun gedi kecil,daun gedi kecil,1 gelas,1.0,gelas,100.0,False,False,False,False,61.0,3.2,0.7,10.4,20.0,50.0,420.0,3.4,False,True
DR025,"Daun gelang, segar",KZGPI-1990,"90,3",30,1.3,0.7,5.8,1.3,"1,9",350,210,"11,9",4.7,333.3,"0,31","1,2",0.0,4701,1954,"0,01","0,14","0,7",1.0,52,D,DR,S,Sayur,tkpi_main_group,"daun gelang, segar",daun gelang,daun gelang,1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,1.3,0.7,5.8,4.7,333.3,350.0,1.3,False,True
DR026,"Daun gunda bali, segar",KZGPI-1990,"86,4",50,4.6,0.9,7.0,1.4,"1,1",167,62,"0,5",,,,,0.0,,6571,"0,05",,,20.0,49,D,DR,S,Sayur,tkpi_main_group,"daun gunda bali, segar",daun gunda bali,daun gunda bali,1 gelas,1.0,gelas,100.0,False,False,False,False,50.0,4.6,0.9,7.0,,,167.0,1.4,False,True
DR027,"Daun gunda serang, segar",KZGPI-1990,"84,6",62,4.2,0.9,9.2,1.3,"1,1",171,64,"0,6",,,,,0.0,,7347,"0,02",,,20.0,47,D,DR,S,Sayur,tkpi_main_group,"daun gunda serang, segar",daun gunda serang,daun gunda serang,1 gelas,1.0,gelas,100.0,False,False,False,False,62.0,4.2,0.9,9.2,,,171.0,1.3,False,True
DR030,"Daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5.0,1.3,15.3,3.9,"1,2",146,103,"5,3",2.0,434.0,"0,5","1,5",,,,"0,1","0,7",,9.0,,D,DR,S,Sayur,tkpi_main_group,"daun jawaw seluang, segar",daun jawaw seluang,daun jawaw seluang,1 gelas,1.0,gelas,100.0,False,False,False,False,93.0,5.0,1.3,15.3,2.0,434.0,146.0,3.9,False,True
DR031,"Daun jonghe, segar",KZGPI-1990,"91,4",27,2.1,0.7,4.4,2.0,"1,4",253,192,"9,5",,,,,0.0,,5057,"0,01",,,1.0,45,D,DR,S,Sayur,tkpi_main_group,"daun jonghe, segar",daun jonghe,daun jonghe,1 gelas,1.0,gelas,100.0,False,False,False,False,27.0,2.1,0.7,4.4,,,253.0,2.0,False,True
DR032,"Daun kacang ma, segar",KZGPI-1990,"89,1",36,2.9,0.6,6.8,1.8,"0,6",64,220,"2,2",7.0,485.3,"0,2","0,3",,2893,4377,"0,04","0,18","1,2",4.0,33,D,DR,S,Sayur,tkpi_main_group,"daun kacang ma, segar",daun kacang ma,daun kacang ma,1 gelas,1.0,gelas,100.0,False,False,False,False,36.0,2.9,0.6,6.8,7.0,485.3,64.0,1.8,False,True
DR033,"Daun kacang panjang, segar",KZGPI-1990,"89,7",30,3.1,0.3,5.8,1.7,"1,1",200,66,"4,5",7.0,458.6,"0,2","0,3",0.0,2734,4592,"0,33","0,2","1,1",30.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kacang panjang, segar",daun kacang panjang,daun kacang panjang,1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,3.1,0.3,5.8,7.0,458.6,200.0,1.7,False,True
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,"80,3",92,4.0,3.6,10.9,5.8,"1,2",140,70,"1,6",70.0,90.0,"0,3","1,1",,9999,,"0,1","0,2","0,1",74.0,87,D,DR,S,Sayur,tkpi_main_group,"daun kasbi/singkong karet, segar",daun kasbi singkong karet,daun kasbi singkong karet,1 gelas,1.0,gelas,100.0,False,False,False,False,92.0,4.0,3.6,10.9,70.0,90.0,140.0,5.8,False,True
DR035,"Daun katuk, segar",KZGPI-1990,81,59,6.4,1.0,9.9,1.5,"1,7",233,98,"3,5",20.7,478.8,"0,3","1,3",,9152,10020,0,"0,31","2,3",164.0,40,D,DR,S,Sayur,tkpi_main_group,"daun katuk, segar",daun katuk,daun katuk,1 gelas,1.0,gelas,100.0,False,False,False,False,59.0,6.4,1.0,9.9,20.7,478.8,233.0,1.5,False,True
DR036,"Daun kecipir, segar",DABM-1964,85,52,5.0,0.5,8.5,,1,134,81,"6,2",5.8,114.0,"0,3","0,8",,3981,5240,"0,28","0,4","2,2",29.0,70,D,DR,S,Sayur,tkpi_main_group,"daun kecipir, segar",daun kecipir,daun kecipir,1 gelas,1.0,gelas,100.0,False,False,False,False,52.0,5.0,0.5,8.5,5.8,114.0,134.0,,False,True
DR037,"Daun kedondong, segar",DABM-1964,81,59,3.5,0.3,13.4,10.7,"1,8",540,82,"6,2",12.1,579.0,,,,1624,2900,"0,06","0,2","1,5",29.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kedondong, segar",daun kedondong,daun kedondong,1 gelas,1.0,gelas,100.0,False,False,False,False,59.0,3.5,0.3,13.4,12.1,579.0,540.0,10.7,False,True
DR038,"Daun kelor, segar",KZGMI-2001,"75,5",92,5.1,1.6,14.3,8.2,"3,5",1077,76,6,61.0,298.0,"0,1","0,6",,3266,,"0,3","0,1","4,2",22.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kelor, segar",daun kelor,daun kelor,1 gelas,1.0,gelas,100.0,False,False,False,False,92.0,5.1,1.6,14.3,61.0,298.0,1077.0,8.2,False,True
DR039,"Daun kemang, segar",DABM-1964,85,43,5.5,0.3,7.5,8.4,"1,7",35,106,1,9.5,457.1,,,,1282,1017,"0,06","0,1","1,2",30.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kemang, segar",daun kemang,daun kemang,1 gelas,1.0,gelas,100.0,False,False,False,False,43.0,5.5,0.3,7.5,9.5,457.1,35.0,8.4,False,True
DR040,"Daun kenikir, segar",BKP,"87,6",45,3.7,0.5,6.6,5.8,"1,7",328,65,"2,7",6.1,431.0,"0,1","0,6",,30200,12,"0,5","0,3","4,5",0.0,"36,3",D,DR,S,Sayur,tkpi_main_group,"daun kenikir, segar",daun kenikir,daun kenikir,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,3.7,0.5,6.6,6.1,431.0,328.0,5.8,False,True
DR041,"Daun kesum, segar",KZGPI-1990,"84,8",48,4.5,0.8,9.1,1.6,"0,8",125,142,"2,6",10.8,174.7,"0,4","1,2",0.0,4216,8715,"0,01","0,1","1,6",4.0,53,D,DR,S,Sayur,tkpi_main_group,"daun kesum, segar",daun kesum,daun kesum,1 gelas,1.0,gelas,100.0,False,False,False,False,48.0,4.5,0.8,9.1,10.8,174.7,125.0,1.6,False,True
DR042,"Daun kol sawi, segar",KZGPI-1990,"93,1",22,2.1,0.5,3.6,0.9,"0,7",200,92,"3,2",19.4,386.2,"0,1","0,2",0.0,1806,2177,"0,03","0,2","0,6",3.0,87,D,DR,S,Sayur,tkpi_main_group,"daun kol sawi, segar",daun kol sawi,daun kol sawi,1 gelas,1.0,gelas,100.0,False,False,False,False,22.0,2.1,0.5,3.6,19.4,386.2,200.0,0.9,False,True
DR043,"Daun koro, segar",DABM-1964,91,23,3.0,0.3,3.7,,2,134,81,"6,2",3.5,68.4,"0,2","0,5",,2386,5240,"0,28","0,2","1,3",29.0,65,D,DR,S,Sayur,tkpi_main_group,"daun koro, segar",daun koro,daun koro,1 gelas,1.0,gelas,100.0,False,False,False,False,23.0,3.0,0.3,3.7,3.5,68.4,134.0,,False,True
DR044,"Daun kubis, segar",KZGMI-2001,"86,2",51,2.5,1.1,8.0,3.4,"2,2",100,50,"3,4",50.0,100.0,"0,9","0,6",,9999,,"0,4","0,1","0,2",16.0,75,D,DR,S,Sayur,tkpi_main_group,"daun kubis, segar",daun kubis,daun kubis,1 gelas,1.0,gelas,100.0,False,False,False,False,51.0,2.5,1.1,8.0,50.0,100.0,100.0,3.4,False,True
DR045,"Daun kumak, segar",KZGPI-1990,"95,2",14,1.3,0.3,2.3,0.9,"0,9",90,59,"2,7",1.9,36.5,"0,1","0,3",,1274,2961,"0,01",0,"0,5",3.0,78,D,DR,S,Sayur,tkpi_main_group,"daun kumak, segar",daun kumak,daun kumak,1 gelas,1.0,gelas,100.0,False,False,False,False,14.0,1.3,0.3,2.3,1.9,36.5,90.0,0.9,False,True
DR046,"Daun labu siam, segar",DABM-1964,"89,7",34,4.0,0.4,4.7,3.5,"1,2",58,70,"2,5",15.9,630.7,"0,2","0,3",,4773,2025,"0,08","0,4","1,7",16.0,100,D,DR,S,Sayur,tkpi_main_group,"daun labu siam, segar",daun labu siam,daun labu siam,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,4.0,0.4,4.7,15.9,630.7,58.0,3.5,False,True
DR047,"Daun labu waluh/kuning, segar",DABM-1964,"89,7",34,3.6,0.6,4.5,2.9,"1,6",138,99,"3,7",15.9,630.7,"0,2","0,3",,1258,2750,"0,14","0,2","1,3",36.0,70,D,DR,S,Sayur,tkpi_main_group,"daun labu waluh/kuning, segar",daun labu waluh kuning,daun labu waluh kuning,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,3.6,0.6,4.5,15.9,630.7,138.0,2.9,False,True
DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,8.3,1.8,14.4,3.3,"1,5",725,174,"3,9",10.1,197.7,"0,5","1,4",0.0,6900,13040,0,"0,1","2,3",32.0,40,D,DR,S,Sayur,tkpi_main_group,"daun lamtoro, segar",daun lamtoro,daun lamtoro,1 gelas,1.0,gelas,100.0,False,False,False,False,87.0,8.3,1.8,14.4,10.1,197.7,725.0,3.3,False,True
